"fat_thickness [mm]","Freq [MHz]","VSWR(1) []"
5,319.70375,8.88844668564421
5,321.2,8.80679165093229
5,322.69625,8.72583741620078
5,324.1925,8.64558323595365
5,325.68875,8.5660259450564
5,327.185,8.48716017707803
5,328.68125,8.40897859785097
5,330.1775,8.33147214901629
5,331.67375,8.25463029638565
5,333.17,8.17844127818818
5,334.66625,8.1028923486537
5,336.1625,8.02797001288301
5,337.65875,7.95366024953864
5,339.155,7.8799487185222
5,340.65125,7.80682095145597
5,342.1475,7.73426252342949
5,343.64375,7.66225920508182
5,345.14,7.5907970946506
5,346.63625,7.51986273011364
5,348.1325,7.44944318197276
5,349.62875,7.37952612757614
5,351.125,7.31009990814692
5,352.62125,7.24115356988365
5,354.1175,7.17267689063023
5,355.61375,7.10466039368346
5,357.11,7.03709535032751
5,358.60625,6.96997377266094
5,360.1025,6.90328839822472
5,361.59875,6.83703266785674
5,363.095,6.77120069809504
5,364.59125,6.70578724933796
5,366.0875,6.64078769084738
5,367.58375,6.57619796355778
5,369.08,6.5120145415315
5,370.57625,6.44823439278358
5,372.0725,6.38485494008783
5,373.56875,6.32187402227351
5,375.065,6.25928985642792
5,376.56125,6.19710100133539
5,378.0575,6.13530632240862
5,379.55375,6.07390495830224
5,381.05,6.01289628934156
5,382.54625,5.95227990785129
5,384.0425,5.89205559042736
5,385.53875,5.83222327216174
5,387.035,5.77278302280179
5,388.53125,5.71373502480372
5,390.0275,5.65507955322209
5,391.52375,5.59681695736421
5,393.02,5.53894764412821
5,394.51625,5.48147206293738
5,396.0125,5.42439069217869
5,397.50875,5.36770402705173
5,399.005,5.31141256873368
5,400.50125,5.25551681476706
5,401.9975,5.20001725057906
5,403.49375,5.14491434204425
5,404.99,5.09020852900568
5,406.48625,5.03590021967384
5,407.9825,4.98198978582676
5,409.47875,4.92847755873921
5,410.975,4.87536382577352
5,412.47125,4.82264882756874
5,413.9675,4.77033275576964
5,415.46375,4.71841575124123
5,416.96,4.66689790271861
5,418.45625,4.61577924584598
5,419.9525,4.56505976256257
5,421.44875,4.51473938079667
5,422.945,4.46481797443245
5,424.44125,4.41529536351738
5,425.9375,4.36617131468102
5,427.43375,4.31744554173883
5,428.93,4.269117706457
5,430.42625,4.22118741945685
5,431.9225,4.17365424123947
5,433.41875,4.12651768331337
5,434.915,4.07977720940949
5,436.41125,4.03343223677012
5,437.9075,3.98748213749926
5,439.40375,3.94192623996399
5,440.9,3.89676383023707
5,442.39625,3.85199415357292
5,443.8925,3.80761641590952
